Sample_ID,C10,i-C11,a-C11,C11,i-C12,C12,i-C13,a-C13,C13,i-C14,C14,i-C15,a-C15,C15,i-C16,C16,i-C17,a-C17,C17,i-C18,C18,MAAT,pH
FR015-1,7.12,1.62,0.1,0.44,0.14,15.47,3.53,0.5,0.56,1.85,23.41,6.83,3.82,0.6,0.79,11.15,5.91,1.7,0.98,0,13.49,8.3,4.7
FR015-2,8.19,0.89,0.12,0.49,0.1,16.95,3.25,0.64,0.68,2.09,27.11,4.76,4.22,0.49,0.6,11.01,3.45,1.02,0.82,0,13.12,8.3,5.1
FR015-3,3.59,0.46,0.15,0.55,0.34,19.23,3.92,1.29,1.07,2.34,29.13,4.61,3.77,0.71,0.62,11.52,3.15,1.14,0.94,0,11.48,8.3,4.3
FR015-4,4.29,0.22,0.12,0.4,0.67,19.68,4.68,1.53,1.38,2.24,27.43,3.5,3.65,0.82,0.65,13.27,2.75,0.88,0.85,0,11.01,8.3,5.2
GA001-2,0.09,0.08,0,0.07,0,2.8,1.13,0.28,0.88,1.54,31.48,11.11,2.35,1.2,0.72,15.93,3.89,0.62,1.34,0,24.51,23.7,3.6
GA001-3,0.45,0,0,0.67,0,8.01,1.3,0.32,1.73,2.77,37.2,4.98,3.17,1.05,0.52,15.82,1.72,0.63,0.9,0,18.76,23.7,4.2
GA002-2,1.46,0.43,0.04,0.35,0.12,9.25,2.12,0.19,0.9,1.47,32.53,5.23,2.21,0.76,0.87,16.03,4.94,0.9,0.77,0,19.41,24.1,5.3
GA003-1,3.13,0.16,0.04,0.47,0.08,8.65,0.69,0.13,0.62,1.38,33.76,3.08,2.08,0.53,0.56,15.52,2.66,1.2,0.55,0,24.72,24.1,4.7
GA003-2,5.13,0.1,0.02,0.5,0.05,10.66,0.66,0.08,0.73,1.53,42,2.53,1.91,0.53,0.28,14.62,1.67,0.65,0.41,0,15.93,24.1,4.8
GA004-1,1.16,0.3,0.02,0.2,0.07,9.7,2.3,0.23,0.79,1.36,33.16,5,2.33,0.8,0.73,17.89,5.42,0.99,0.81,0,16.74,25.8,5.3
GA004-2,0.02,0.02,0,0.09,0.04,5.89,1.28,0.18,1.23,1.54,38.94,5.24,2.45,1.05,0.6,17.95,3.32,0.81,0.88,0,18.45,25.8,5.2
GA005-1,1.71,0.4,0.04,0.44,0.1,7.53,1.57,0.14,0.89,1.75,36.07,4.95,2.31,0.98,0.85,16.62,3.96,0.9,0.8,0,17.98,26.3,5.1
GA006-1,2.54,1.1,0.16,0.32,0.23,12.03,4.8,0.57,0.83,1.74,30.36,6.23,2.66,1.04,0.95,14.9,5.02,0.68,1.11,0,12.73,26,5.06
GA006-2,1.66,0.64,0.08,0.28,0.09,9.7,3.41,0.24,0.83,1.78,34.07,5.89,2.67,1.14,0.78,16.37,3.8,0.71,0.87,0,15,26,5.39
GH002-1,0.47,0.54,0.03,0.19,0.04,8.2,3.1,0.26,0.8,1.58,32.11,5.86,2.66,1.05,0.74,17.68,7.2,0.9,0.89,0,15.71,27,6
GH002-2,0.36,0.42,0.05,0.19,0.08,6.71,2.46,0.19,0.78,1.72,34.8,4.53,2.53,1.28,0.64,18.08,4.32,0.66,0.89,0,19.33,27,5.7
GL005-2,4.5,0.16,0.15,0.46,0.12,15.54,2.35,0.76,0.75,2.24,23.45,4.32,5.11,0.74,1.17,16.99,4.81,1.74,0.89,0,13.77,-0.4,5.5
NG015-2,1.25,0.08,0.03,0.21,0.11,5.64,1.61,0.23,0.91,2.75,39.98,4.89,3.03,0.87,0.53,13.73,2.06,0.8,0.71,0,20.6,26.7,4.8
NG015-3,0.2,0.03,0.01,0.1,0.08,4.92,2.22,0.3,1.04,4.09,39.61,6.06,3.49,1.09,0.61,15.59,2.16,0.69,0.82,0,16.88,26.7,4.26
NG015-4,0,0,0,0,0,0.96,1.25,0.29,0.89,5.87,26.75,7.92,3.42,1.4,1.15,20.74,4.96,1.24,1.8,0,21.34,26.7,4.26
NG019-2,0,0,0,0,0,0.21,0.38,0.06,0.26,1.06,15.49,5.22,3.12,1.4,2.88,31.35,8.02,1.52,2.26,0,26.77,26.8,7.4
ZA007-1,0.69,0.13,0.03,0.21,0.07,9.11,1.67,0.2,0.71,1.38,34.59,4.2,2.74,0.85,1.35,15.43,4.81,1.37,0.76,0,19.71,18,5.5
ZA007-2,0.37,0.09,0,0.19,0.06,7.35,0.86,0.14,0.77,1.38,38.31,3.32,2.39,0.76,0.75,16.7,3.44,1.16,0.64,0,21.32,18,5.3
ZA007-3,0,0,0,0,3.24,8.15,5.67,2.47,5.46,5.47,25.03,3.87,3.15,2.75,0,15.25,4.59,1.17,2.12,0,11.62,18,5.02
MR-1,2.73,0.48,0.08,0.19,0.16,6.44,3.97,0.58,0.57,1.12,19.79,5.2,2.11,1.11,1.08,21.31,9.48,1.26,3.85,0.75,17.76,25.7,6.5
MR-2,0.44,0,0,0,0,4.68,2.31,0.29,0.35,0.86,27.68,5.71,2.03,1.01,1.77,19.38,10.59,1.34,1.69,1.05,18.81,25.7,5.6
MR-3,3.97,0.95,0.04,0.23,0.22,7.06,3.64,1.33,0.77,1.02,19.64,5.84,1.62,1.3,0.99,19.74,12.65,1.15,3.44,0.99,13.43,24.8,6.4
MR-4,2.09,0.52,0.02,0.19,0.16,5.5,3.35,0.53,0.64,1.14,22.19,6.51,2.17,1.02,1.32,22.55,11.34,1.3,1.61,0.89,14.98,24.7,6.1
MR-5,2.28,0.92,0.05,0.22,0.15,5.74,3.18,0.97,0.63,1.11,21.71,8.14,1.99,1.23,1.62,20.1,12.12,1.55,2.66,1.17,12.46,24.4,6.3
MR-6,3.31,0.64,0.09,0.26,0.18,7.1,4.14,0.66,0.71,1.12,19.92,5.23,2.07,1.27,1.07,20.53,9.34,1.32,3.69,0.62,16.75,23.4,5.9
MR-7,4.66,1.04,0.05,0.32,0.24,7.94,3.75,1.09,0.64,1.16,24.57,6.09,2.33,0.95,1,17.48,10.09,1.28,1.25,1.07,12.99,23.3,5.8
MR-8,2.02,0.93,0.05,0.34,0,6.66,2.88,0.87,0.9,1.02,29.16,5.89,1.83,1,0.91,18.39,8.62,1.4,1.32,0,15.8,23.1,5.9
MR-9,1.8,0.71,0.08,0.2,0.37,4.74,2.46,2.16,0.67,1.25,21.17,8.56,1.92,1.35,1.86,20.03,13.25,1.83,2.09,1.18,12.32,23.1,7.3
MR-10,1.95,0.55,0.09,0.2,0.23,5.97,3.65,0.63,1.21,1.42,22.91,7.42,2.27,1.35,1.63,19.18,12.07,1.62,1.48,0.76,13.4,23.1,6.2
MR-11,0.84,0.5,0.03,0.19,0.34,5.27,3.55,1.03,0.72,1.77,29,9.3,3.27,1.25,1.35,19.22,8.7,1.05,1.31,1.99,9.33,23.1,6.1
MR-12,2,0.52,0.04,0.21,0.26,6.61,4.02,0.93,0.64,1.47,20.98,6.67,2.58,1.11,1.31,20.69,11.92,1.24,1.95,0.7,14.13,22.2,6.4
MR-13,6.05,2.06,0.17,0.59,0.43,10.51,5.22,0.87,0.72,1.2,23.67,6.18,2.07,0.95,1.17,17.06,9.56,1.32,1.29,0.25,8.64,21.5,6.1
MR-14,8.91,0.8,0.04,0.36,0.23,8.88,2.89,1.59,0.74,1.2,24.46,5.51,2.32,0.87,1.1,15.78,7.96,1.68,1.31,1.27,12.09,20.6,5.7
MR-15,6.74,0.5,0,0.25,0.59,8.22,5.07,1.71,0.79,1.75,21.28,4.07,2.2,0.96,1.02,18.88,6.24,1.04,1.86,0.71,16.13,19.4,5.6
MR-16,3.69,0.57,0.04,0.24,0.18,9.05,3.03,1.04,0.65,1.17,22.9,5.05,2.26,0.83,1.24,19.14,9.62,1.35,1.18,1.21,15.55,18.2,5.5
MR-17,4.53,0.7,0.07,0.26,0.21,8.7,3.33,0.69,0.55,1.31,20.85,6.05,2.83,0.89,1.06,17.64,9.89,1.5,1.29,0.48,17.18,17.1,5.7
MR-18,3.78,0.49,0.06,0.2,0.19,10.58,3.34,0.73,0.67,1.41,23.86,4.92,2.93,0.83,0.95,18.7,7.8,1.4,1.2,0.42,15.53,16,5.6
MR-19,3.59,0.39,0.05,0.22,0.12,9.51,3.81,0.65,0.63,1.31,23.52,5.67,2.7,0.93,0.93,19.33,7.82,1.4,1.19,0.53,15.7,14.7,5.9
MR-20,3.24,0.41,0.07,0.19,0.14,9.02,3.72,0.71,0.61,1.46,23.41,5.25,2.75,0.93,0.96,19.07,9.2,1.4,1.23,0.68,15.56,14.5,6.2
MR-21,2.01,0.22,0.03,0.16,0.15,6.41,2.59,1.46,0.68,1.43,19.76,4.75,3.41,1.01,1.06,20.19,9.2,1.46,1.76,0.83,21.41,14.3,6.3
